"AD_ID"	"CAMPAIGN_ID"	"ACCOUNT_ID"	"ADSET_ID"	"CLICKS"	"SPEND"	"REACH"	"IMPRESSIONS"
"6124049895443"	"6124049893243"	"495346300520002"	"6124049894043"	"379"	"1.97"	"6411"	"6432"
"6124047366243"	"6124047364043"	"495346300520002"	"6124047365043"	"65"	"1.1"	"3032"	"3156"
"6121861571843"	"6121861570843"	"495346300520002"	"6121861571443"	"3982"	"135.78"	"138394"	"248007"
"6123674752243"	"6123674750243"	"495346300520002"	"6123674751643"	"479"	"10"	"20224"	"26200"
"6120531406243"	"6120531405043"	"495346300520002"	"6120531405843"	"1048"	"57.92"	"19991"	"34014"
"6123177402443"	"6123177401043"	"495346300520002"	"6123177402243"	"1182"	"10"	"10366"	"14813"
"6122621056843"	"6122621055443"	"495346300520002"	"6122621055843"	"4680"	"10"	"26694"	"32850"
"6122621234043"	"6122621231843"	"495346300520002"	"6122621232843"	"8238"	"20"	"190512"	"207388"
"6122496141643"	"6122496140043"	"495346300520002"	"6122496141243"	"2041"	"20"	"21292"	"25201"
"6122283111043"	"6122283108643"	"495346300520002"	"6122283109843"	"4183"	"50"	"38443"	"49703"
"6122283137443"	"6122283135243"	"495346300520002"	"6122283136243"	"1286"	"10"	"29726"	"39258"
"6121970041843"	"6121970040643"	"495346300520002"	"6121970041443"	"1986"	"53"	"86443"	"171602"
"6121795021243"	"6121795020043"	"495346300520002"	"6121795020843"	"1016"	"10"	"8646"	"9838"
"6088096126843"	"6033608140643"	"495346300520002"	"6033608141843"	"772"	"10.47"	"6098"	"8689"
"6088096126643"	"6033608140643"	"495346300520002"	"6033608141843"	"2575"	"29.21"	"26086"	"35702"
"6088096065843"	"6033608140643"	"495346300520002"	"6033608141843"	"13550"	"260.32"	"267053"	"452267"
